SAMPLE_ID,PAR_NAME,INDEX,PAR_VALUE
0,vac_rate,0,92473.200000
0,vac_protect_duration,0,96.000000
0,vac_dist,0,0.283902
0,vac_dist,1,0.513837
0,vac_dist,2,0.086362
0,vac_dist,3,0.115899
0,vac_efficacy,0,0.900000
0,vac_t_year_offset,0,0.000000
0,vac_t_year_length,0,48.000000
0,n_age_vac,0,10.000000
0,vac_t_freq,0,1.000000
0,reg_import_scale,0,1.000000
0,vac_identifiable,0,0.000000
0,vac_prop,0,0.283902
0,vac_prop,1,0.513837
0,vac_prop,2,0.0863621
0,vac_prop,3,0.115899
1,vac_rate,0,92473.200000
1,vac_protect_duration,0,96.000000
1,vac_dist,0,0.141749
1,vac_dist,1,0.530439
1,vac_dist,2,0.051412
1,vac_dist,3,0.276400
1,vac_efficacy,0,0.900000
1,vac_t_year_offset,0,0.000000
1,vac_t_year_length,0,48.000000
1,n_age_vac,0,10.000000
1,vac_t_freq,0,1.000000
1,reg_import_scale,0,1.000000
1,vac_identifiable,0,0.000000
1,vac_prop,0,0.141749
1,vac_prop,1,0.530439
1,vac_prop,2,0.0514117
1,vac_prop,3,0.2764
2,vac_rate,0,92473.200000
2,vac_protect_duration,0,96.000000
2,vac_dist,0,0.136301
2,vac_dist,1,0.678679
2,vac_dist,2,0.072212
2,vac_dist,3,0.112808
2,vac_efficacy,0,0.900000
2,vac_t_year_offset,0,0.000000
2,vac_t_year_length,0,48.000000
2,n_age_vac,0,10.000000
2,vac_t_freq,0,1.000000
2,reg_import_scale,0,1.000000
2,vac_identifiable,0,0.000000
2,vac_prop,0,0.136301
2,vac_prop,1,0.678679
2,vac_prop,2,0.072212
2,vac_prop,3,0.112808
3,vac_rate,0,92473.200000
3,vac_protect_duration,0,96.000000
3,vac_dist,0,0.213980
3,vac_dist,1,0.572166
3,vac_dist,2,0.002651
3,vac_dist,3,0.211203
3,vac_efficacy,0,0.900000
3,vac_t_year_offset,0,0.000000
3,vac_t_year_length,0,48.000000
3,n_age_vac,0,10.000000
3,vac_t_freq,0,1.000000
3,reg_import_scale,0,1.000000
3,vac_identifiable,0,0.000000
3,vac_prop,0,0.21398
3,vac_prop,1,0.572166
3,vac_prop,2,0.00265117
3,vac_prop,3,0.211203
4,vac_rate,0,92473.200000
4,vac_protect_duration,0,96.000000
4,vac_dist,0,0.125607
4,vac_dist,1,0.786165
4,vac_dist,2,0.018404
4,vac_dist,3,0.069824
4,vac_efficacy,0,0.900000
4,vac_t_year_offset,0,0.000000
4,vac_t_year_length,0,48.000000
4,n_age_vac,0,10.000000
4,vac_t_freq,0,1.000000
4,reg_import_scale,0,1.000000
4,vac_identifiable,0,0.000000
4,vac_prop,0,0.125607
4,vac_prop,1,0.786165
4,vac_prop,2,0.0184038
4,vac_prop,3,0.069824
5,vac_rate,0,92473.200000
5,vac_protect_duration,0,96.000000
5,vac_dist,0,0.148715
5,vac_dist,1,0.666606
5,vac_dist,2,0.053744
5,vac_dist,3,0.130935
5,vac_efficacy,0,0.900000
5,vac_t_year_offset,0,0.000000
5,vac_t_year_length,0,48.000000
5,n_age_vac,0,10.000000
5,vac_t_freq,0,1.000000
5,reg_import_scale,0,1.000000
5,vac_identifiable,0,0.000000
5,vac_prop,0,0.148715
5,vac_prop,1,0.666606
5,vac_prop,2,0.0537439
5,vac_prop,3,0.130935
6,vac_rate,0,92473.200000
6,vac_protect_duration,0,96.000000
6,vac_dist,0,0.195019
6,vac_dist,1,0.644561
6,vac_dist,2,0.003933
6,vac_dist,3,0.156487
6,vac_efficacy,0,0.900000
6,vac_t_year_offset,0,0.000000
6,vac_t_year_length,0,48.000000
6,n_age_vac,0,10.000000
6,vac_t_freq,0,1.000000
6,reg_import_scale,0,1.000000
6,vac_identifiable,0,0.000000
6,vac_prop,0,0.195019
6,vac_prop,1,0.644561
6,vac_prop,2,0.00393266
6,vac_prop,3,0.156487
7,vac_rate,0,92473.200000
7,vac_protect_duration,0,96.000000
7,vac_dist,0,0.238483
7,vac_dist,1,0.673774
7,vac_dist,2,0.025660
7,vac_dist,3,0.062082
7,vac_efficacy,0,0.900000
7,vac_t_year_offset,0,0.000000
7,vac_t_year_length,0,48.000000
7,n_age_vac,0,10.000000
7,vac_t_freq,0,1.000000
7,reg_import_scale,0,1.000000
7,vac_identifiable,0,0.000000
7,vac_prop,0,0.238483
7,vac_prop,1,0.673774
7,vac_prop,2,0.0256602
7,vac_prop,3,0.0620818
8,vac_rate,0,92473.200000
8,vac_protect_duration,0,96.000000
8,vac_dist,0,0.152013
8,vac_dist,1,0.751669
8,vac_dist,2,0.001651
8,vac_dist,3,0.094667
8,vac_efficacy,0,0.900000
8,vac_t_year_offset,0,0.000000
8,vac_t_year_length,0,48.000000
8,n_age_vac,0,10.000000
8,vac_t_freq,0,1.000000
8,reg_import_scale,0,1.000000
8,vac_identifiable,0,0.000000
8,vac_prop,0,0.152013
8,vac_prop,1,0.751669
8,vac_prop,2,0.00165105
8,vac_prop,3,0.0946667
9,vac_rate,0,92473.200000
9,vac_protect_duration,0,96.000000
9,vac_dist,0,0.151062
9,vac_dist,1,0.736178
9,vac_dist,2,0.000191
9,vac_dist,3,0.112569
9,vac_efficacy,0,0.900000
9,vac_t_year_offset,0,0.000000
9,vac_t_year_length,0,48.000000
9,n_age_vac,0,10.000000
9,vac_t_freq,0,1.000000
9,reg_import_scale,0,1.000000
9,vac_identifiable,0,0.000000
9,vac_prop,0,0.151062
9,vac_prop,1,0.736178
9,vac_prop,2,0.00019126
9,vac_prop,3,0.112569
10,vac_rate,0,92473.200000
10,vac_protect_duration,0,96.000000
10,vac_dist,0,0.066678
10,vac_dist,1,0.691356
10,vac_dist,2,0.009638
10,vac_dist,3,0.232327
10,vac_efficacy,0,0.900000
10,vac_t_year_offset,0,0.000000
10,vac_t_year_length,0,48.000000
10,n_age_vac,0,10.000000
10,vac_t_freq,0,1.000000
10,reg_import_scale,0,1.000000
10,vac_identifiable,0,0.000000
10,vac_prop,0,0.0666779
10,vac_prop,1,0.691356
10,vac_prop,2,0.00963846
10,vac_prop,3,0.232327
11,vac_rate,0,92473.200000
11,vac_protect_duration,0,96.000000
11,vac_dist,0,0.128094
11,vac_dist,1,0.668874
11,vac_dist,2,0.025039
11,vac_dist,3,0.177993
11,vac_efficacy,0,0.900000
11,vac_t_year_offset,0,0.000000
11,vac_t_year_length,0,48.000000
11,n_age_vac,0,10.000000
11,vac_t_freq,0,1.000000
11,reg_import_scale,0,1.000000
11,vac_identifiable,0,0.000000
11,vac_prop,0,0.128094
11,vac_prop,1,0.668874
11,vac_prop,2,0.0250386
11,vac_prop,3,0.177993
12,vac_rate,0,92473.200000
12,vac_protect_duration,0,96.000000
12,vac_dist,0,0.092934
12,vac_dist,1,0.741849
12,vac_dist,2,0.028356
12,vac_dist,3,0.136862
12,vac_efficacy,0,0.900000
12,vac_t_year_offset,0,0.000000
12,vac_t_year_length,0,48.000000
12,n_age_vac,0,10.000000
12,vac_t_freq,0,1.000000
12,reg_import_scale,0,1.000000
12,vac_identifiable,0,0.000000
12,vac_prop,0,0.0929335
12,vac_prop,1,0.741849
12,vac_prop,2,0.0283562
12,vac_prop,3,0.136862
13,vac_rate,0,92473.200000
13,vac_protect_duration,0,96.000000
13,vac_dist,0,0.206135
13,vac_dist,1,0.697504
13,vac_dist,2,0.035653
13,vac_dist,3,0.060708
13,vac_efficacy,0,0.900000
13,vac_t_year_offset,0,0.000000
13,vac_t_year_length,0,48.000000
13,n_age_vac,0,10.000000
13,vac_t_freq,0,1.000000
13,reg_import_scale,0,1.000000
13,vac_identifiable,0,0.000000
13,vac_prop,0,0.206135
13,vac_prop,1,0.697504
13,vac_prop,2,0.0356534
13,vac_prop,3,0.0607079
14,vac_rate,0,92473.200000
14,vac_protect_duration,0,96.000000
14,vac_dist,0,0.153694
14,vac_dist,1,0.586508
14,vac_dist,2,0.080734
14,vac_dist,3,0.179064
14,vac_efficacy,0,0.900000
14,vac_t_year_offset,0,0.000000
14,vac_t_year_length,0,48.000000
14,n_age_vac,0,10.000000
14,vac_t_freq,0,1.000000
14,reg_import_scale,0,1.000000
14,vac_identifiable,0,0.000000
14,vac_prop,0,0.153694
14,vac_prop,1,0.586508
14,vac_prop,2,0.0807339
14,vac_prop,3,0.179064
15,vac_rate,0,92473.200000
15,vac_protect_duration,0,96.000000
15,vac_dist,0,0.202883
15,vac_dist,1,0.663715
15,vac_dist,2,0.058624
15,vac_dist,3,0.074777
15,vac_efficacy,0,0.900000
15,vac_t_year_offset,0,0.000000
15,vac_t_year_length,0,48.000000
15,n_age_vac,0,10.000000
15,vac_t_freq,0,1.000000
15,reg_import_scale,0,1.000000
15,vac_identifiable,0,0.000000
15,vac_prop,0,0.202883
15,vac_prop,1,0.663715
15,vac_prop,2,0.0586239
15,vac_prop,3,0.0747775
16,vac_rate,0,92473.200000
16,vac_protect_duration,0,96.000000
16,vac_dist,0,0.114209
16,vac_dist,1,0.799508
16,vac_dist,2,0.011023
16,vac_dist,3,0.075261
16,vac_efficacy,0,0.900000
16,vac_t_year_offset,0,0.000000
16,vac_t_year_length,0,48.000000
16,n_age_vac,0,10.000000
16,vac_t_freq,0,1.000000
16,reg_import_scale,0,1.000000
16,vac_identifiable,0,0.000000
16,vac_prop,0,0.114209
16,vac_prop,1,0.799508
16,vac_prop,2,0.0110227
16,vac_prop,3,0.0752607
17,vac_rate,0,92473.200000
17,vac_protect_duration,0,96.000000
17,vac_dist,0,0.229412
17,vac_dist,1,0.623766
17,vac_dist,2,0.001831
17,vac_dist,3,0.144990
17,vac_efficacy,0,0.900000
17,vac_t_year_offset,0,0.000000
17,vac_t_year_length,0,48.000000
17,n_age_vac,0,10.000000
17,vac_t_freq,0,1.000000
17,reg_import_scale,0,1.000000
17,vac_identifiable,0,0.000000
17,vac_prop,0,0.229412
17,vac_prop,1,0.623766
17,vac_prop,2,0.00183123
17,vac_prop,3,0.14499
18,vac_rate,0,92473.200000
18,vac_protect_duration,0,96.000000
18,vac_dist,0,0.126367
18,vac_dist,1,0.679921
18,vac_dist,2,0.109812
18,vac_dist,3,0.083900
18,vac_efficacy,0,0.900000
18,vac_t_year_offset,0,0.000000
18,vac_t_year_length,0,48.000000
18,n_age_vac,0,10.000000
18,vac_t_freq,0,1.000000
18,reg_import_scale,0,1.000000
18,vac_identifiable,0,0.000000
18,vac_prop,0,0.126367
18,vac_prop,1,0.679921
18,vac_prop,2,0.109812
18,vac_prop,3,0.0838999
19,vac_rate,0,92473.200000
19,vac_protect_duration,0,96.000000
19,vac_dist,0,0.093875
19,vac_dist,1,0.856731
19,vac_dist,2,0.018769
19,vac_dist,3,0.030625
19,vac_efficacy,0,0.900000
19,vac_t_year_offset,0,0.000000
19,vac_t_year_length,0,48.000000
19,n_age_vac,0,10.000000
19,vac_t_freq,0,1.000000
19,reg_import_scale,0,1.000000
19,vac_identifiable,0,0.000000
19,vac_prop,0,0.0938749
19,vac_prop,1,0.856731
19,vac_prop,2,0.0187685
19,vac_prop,3,0.0306253
20,vac_rate,0,92473.200000
20,vac_protect_duration,0,96.000000
20,vac_dist,0,0.215467
20,vac_dist,1,0.704974
20,vac_dist,2,0.020149
20,vac_dist,3,0.059411
20,vac_efficacy,0,0.900000
20,vac_t_year_offset,0,0.000000
20,vac_t_year_length,0,48.000000
20,n_age_vac,0,10.000000
20,vac_t_freq,0,1.000000
20,reg_import_scale,0,1.000000
20,vac_identifiable,0,0.000000
20,vac_prop,0,0.215467
20,vac_prop,1,0.704974
20,vac_prop,2,0.020149
20,vac_prop,3,0.0594107
21,vac_rate,0,92473.200000
21,vac_protect_duration,0,96.000000
21,vac_dist,0,0.024065
21,vac_dist,1,0.749045
21,vac_dist,2,0.014854
21,vac_dist,3,0.212036
21,vac_efficacy,0,0.900000
21,vac_t_year_offset,0,0.000000
21,vac_t_year_length,0,48.000000
21,n_age_vac,0,10.000000
21,vac_t_freq,0,1.000000
21,reg_import_scale,0,1.000000
21,vac_identifiable,0,0.000000
21,vac_prop,0,0.0240647
21,vac_prop,1,0.749045
21,vac_prop,2,0.014854
21,vac_prop,3,0.212036
22,vac_rate,0,92473.200000
22,vac_protect_duration,0,96.000000
22,vac_dist,0,0.214796
22,vac_dist,1,0.628111
22,vac_dist,2,0.000478
22,vac_dist,3,0.156615
22,vac_efficacy,0,0.900000
22,vac_t_year_offset,0,0.000000
22,vac_t_year_length,0,48.000000
22,n_age_vac,0,10.000000
22,vac_t_freq,0,1.000000
22,reg_import_scale,0,1.000000
22,vac_identifiable,0,0.000000
22,vac_prop,0,0.214796
22,vac_prop,1,0.628111
22,vac_prop,2,0.000478117
22,vac_prop,3,0.156615
23,vac_rate,0,92473.200000
23,vac_protect_duration,0,96.000000
23,vac_dist,0,0.172947
23,vac_dist,1,0.690186
23,vac_dist,2,0.021645
23,vac_dist,3,0.115222
23,vac_efficacy,0,0.900000
23,vac_t_year_offset,0,0.000000
23,vac_t_year_length,0,48.000000
23,n_age_vac,0,10.000000
23,vac_t_freq,0,1.000000
23,reg_import_scale,0,1.000000
23,vac_identifiable,0,0.000000
23,vac_prop,0,0.172947
23,vac_prop,1,0.690186
23,vac_prop,2,0.0216451
23,vac_prop,3,0.115222
24,vac_rate,0,92473.200000
24,vac_protect_duration,0,96.000000
24,vac_dist,0,0.239070
24,vac_dist,1,0.566015
24,vac_dist,2,0.031959
24,vac_dist,3,0.162956
24,vac_efficacy,0,0.900000
24,vac_t_year_offset,0,0.000000
24,vac_t_year_length,0,48.000000
24,n_age_vac,0,10.000000
24,vac_t_freq,0,1.000000
24,reg_import_scale,0,1.000000
24,vac_identifiable,0,0.000000
24,vac_prop,0,0.23907
24,vac_prop,1,0.566015
24,vac_prop,2,0.031959
24,vac_prop,3,0.162956
25,vac_rate,0,92473.200000
25,vac_protect_duration,0,96.000000
25,vac_dist,0,0.095508
25,vac_dist,1,0.624542
25,vac_dist,2,0.016427
25,vac_dist,3,0.263522
25,vac_efficacy,0,0.900000
25,vac_t_year_offset,0,0.000000
25,vac_t_year_length,0,48.000000
25,n_age_vac,0,10.000000
25,vac_t_freq,0,1.000000
25,reg_import_scale,0,1.000000
25,vac_identifiable,0,0.000000
25,vac_prop,0,0.0955085
25,vac_prop,1,0.624542
25,vac_prop,2,0.0164271
25,vac_prop,3,0.263522
26,vac_rate,0,92473.200000
26,vac_protect_duration,0,96.000000
26,vac_dist,0,0.040950
26,vac_dist,1,0.821985
26,vac_dist,2,0.011053
26,vac_dist,3,0.126012
26,vac_efficacy,0,0.900000
26,vac_t_year_offset,0,0.000000
26,vac_t_year_length,0,48.000000
26,n_age_vac,0,10.000000
26,vac_t_freq,0,1.000000
26,reg_import_scale,0,1.000000
26,vac_identifiable,0,0.000000
26,vac_prop,0,0.0409499
26,vac_prop,1,0.821985
26,vac_prop,2,0.0110526
26,vac_prop,3,0.126012
27,vac_rate,0,92473.200000
