OPTIM_ID,STEP_ID,PARTICLE_ID,PAR_NAME,INDEX,PAR_VALUE
0,0,0,vac_dist,0,0.328416
0,0,0,vac_dist,1,0.186117
0,0,0,vac_dist,2,0.32234
0,0,0,vac_dist,3,0.163127
0,0,1,vac_dist,0,0.423691
0,0,1,vac_dist,1,0.357098
0,0,1,vac_dist,2,0.179943
0,0,1,vac_dist,3,0.0392678
0,0,2,vac_dist,0,0.325388
0,0,2,vac_dist,1,0.0740086
0,0,2,vac_dist,2,0.557208
0,0,2,vac_dist,3,0.0433948
0,0,3,vac_dist,0,0.234143
0,0,3,vac_dist,1,0.0587927
0,0,3,vac_dist,2,0.415095
0,0,3,vac_dist,3,0.291969
0,0,4,vac_dist,0,0.136701
0,0,4,vac_dist,1,0.405019
0,0,4,vac_dist,2,0.19346
0,0,4,vac_dist,3,0.26482
0,0,5,vac_dist,0,0.32332
0,0,5,vac_dist,1,0.48441
0,0,5,vac_dist,2,0.020636
0,0,5,vac_dist,3,0.171634
0,0,6,vac_dist,0,0.4949
0,0,6,vac_dist,1,0.333841
0,0,6,vac_dist,2,0.106696
0,0,6,vac_dist,3,0.0645622
0,0,7,vac_dist,0,0.0919407
0,0,7,vac_dist,1,0.0394812
0,0,7,vac_dist,2,0.0614407
0,0,7,vac_dist,3,0.807137
0,0,8,vac_dist,0,0.0642426
0,0,8,vac_dist,1,0.0498612
0,0,8,vac_dist,2,0.450939
0,0,8,vac_dist,3,0.434958
0,0,9,vac_dist,0,0.154241
0,0,9,vac_dist,1,0.602012
0,0,9,vac_dist,2,0.169072
0,0,9,vac_dist,3,0.0746756
0,0,10,vac_dist,0,0.345819
0,0,10,vac_dist,1,0.15497
0,0,10,vac_dist,2,0.333358
0,0,10,vac_dist,3,0.165853
0,0,11,vac_dist,0,0.419951
0,0,11,vac_dist,1,0.210386
0,0,11,vac_dist,2,0.00262585
0,0,11,vac_dist,3,0.367037
0,0,12,vac_dist,0,0.359696
0,0,12,vac_dist,1,0.260825
0,0,12,vac_dist,2,0.301989
0,0,12,vac_dist,3,0.0774901
0,0,13,vac_dist,0,0.370791
0,0,13,vac_dist,1,0.157666
0,0,13,vac_dist,2,0.355338
0,0,13,vac_dist,3,0.116206
0,0,14,vac_dist,0,0.246446
0,0,14,vac_dist,1,0.0914271
0,0,14,vac_dist,2,0.535097
0,0,14,vac_dist,3,0.127029
0,0,15,vac_dist,0,0.1761
0,0,15,vac_dist,1,0.761134
0,0,15,vac_dist,2,0.0468458
0,0,15,vac_dist,3,0.0159199
0,0,16,vac_dist,0,0.644518
0,0,16,vac_dist,1,0.0265162
0,0,16,vac_dist,2,0.323332
0,0,16,vac_dist,3,0.00563306
0,0,17,vac_dist,0,0.289333
0,0,17,vac_dist,1,0.404806
0,0,17,vac_dist,2,0.298648
0,0,17,vac_dist,3,0.00721216
0,0,18,vac_dist,0,0.164522
0,0,18,vac_dist,1,0.118223
0,0,18,vac_dist,2,0.242079
0,0,18,vac_dist,3,0.475176
0,0,19,vac_dist,0,0.0977403
0,0,19,vac_dist,1,0.548548
0,0,19,vac_dist,2,0.21248
0,0,19,vac_dist,3,0.141232
0,0,20,vac_dist,0,0.0962551
0,0,20,vac_dist,1,0.20201
0,0,20,vac_dist,2,0.517642
0,0,20,vac_dist,3,0.184092
0,0,21,vac_dist,0,0.0558649
0,0,21,vac_dist,1,0.199606
0,0,21,vac_dist,2,0.625253
0,0,21,vac_dist,3,0.119276
0,0,22,vac_dist,0,0.141463
0,0,22,vac_dist,1,0.766648
0,0,22,vac_dist,2,0.0815703
0,0,22,vac_dist,3,0.010319
0,0,23,vac_dist,0,0.744097
0,0,23,vac_dist,1,0.202001
0,0,23,vac_dist,2,0.0105038
0,0,23,vac_dist,3,0.043399
0,0,24,vac_dist,0,0.0727478
0,0,24,vac_dist,1,0.207045
0,0,24,vac_dist,2,0.659212
0,0,24,vac_dist,3,0.0609955
0,0,25,vac_dist,0,0.113888
0,0,25,vac_dist,1,0.0425858
0,0,25,vac_dist,2,0.0316921
0,0,25,vac_dist,3,0.811834
0,0,26,vac_dist,0,0.668753
0,0,26,vac_dist,1,0.146057
0,0,26,vac_dist,2,0.142582
0,0,26,vac_dist,3,0.0426085
0,0,27,vac_dist,0,0.0445206
0,0,27,vac_dist,1,0.466934
0,0,27,vac_dist,2,0.31231
0,0,27,vac_dist,3,0.176235
0,0,28,vac_dist,0,0.737772
0,0,28,vac_dist,1,0.178281
0,0,28,vac_dist,2,0.0708019
0,0,28,vac_dist,3,0.0131452
0,0,29,vac_dist,0,0.247162
0,0,29,vac_dist,1,0.0373462
0,0,29,vac_dist,2,0.236258
0,0,29,vac_dist,3,0.479233
0,0,30,vac_dist,0,0.0089197
0,0,30,vac_dist,1,0.540225
0,0,30,vac_dist,2,0.305784
0,0,30,vac_dist,3,0.145071
0,0,31,vac_dist,0,0.639048
0,0,31,vac_dist,1,0.113384
0,0,31,vac_dist,2,0.0861313
0,0,31,vac_dist,3,0.161436
0,0,32,vac_dist,0,0.416929
0,0,32,vac_dist,1,0.0847509
0,0,32,vac_dist,2,0.0537446
0,0,32,vac_dist,3,0.444576
0,0,33,vac_dist,0,0.279805
0,0,33,vac_dist,1,0.603761
0,0,33,vac_dist,2,0.0438187
0,0,33,vac_dist,3,0.0726148
0,0,34,vac_dist,0,0.0418935
0,0,34,vac_dist,1,0.0606111
0,0,34,vac_dist,2,0.15156
0,0,34,vac_dist,3,0.745935
0,0,35,vac_dist,0,0.125032
0,0,35,vac_dist,1,0.0281399
0,0,35,vac_dist,2,0.293739
