OPTIM_ID,STEP_ID,PARTICLE_ID,PAR_NAME,INDEX,PAR_VALUE
0,0,0,vac_dist,0,0.118778
0,0,0,vac_dist,1,0.259428
0,0,0,vac_dist,2,0.244707
0,0,0,vac_dist,3,0.377087
0,0,1,vac_dist,0,0.525393
0,0,1,vac_dist,1,0.227409
0,0,1,vac_dist,2,0.120652
0,0,1,vac_dist,3,0.126546
0,0,2,vac_dist,0,0.35369
0,0,2,vac_dist,1,0.0536396
0,0,2,vac_dist,2,0.549165
0,0,2,vac_dist,3,0.0435056
0,0,3,vac_dist,0,0.127127
0,0,3,vac_dist,1,0.545274
0,0,3,vac_dist,2,0.0820061
0,0,3,vac_dist,3,0.245593
0,0,4,vac_dist,0,0.515959
0,0,4,vac_dist,1,0.0761741
0,0,4,vac_dist,2,0.228369
0,0,4,vac_dist,3,0.179498
0,0,5,vac_dist,0,0.348908
0,0,5,vac_dist,1,0.200534
0,0,5,vac_dist,2,0.388204
0,0,5,vac_dist,3,0.0623537
0,0,6,vac_dist,0,0.480885
0,0,6,vac_dist,1,0.0316896
0,0,6,vac_dist,2,0.388903
0,0,6,vac_dist,3,0.098522
0,0,7,vac_dist,0,0.0190926
0,0,7,vac_dist,1,0.636391
0,0,7,vac_dist,2,0.144232
0,0,7,vac_dist,3,0.200284
0,0,8,vac_dist,0,0.258867
0,0,8,vac_dist,1,0.405134
0,0,8,vac_dist,2,0.213176
0,0,8,vac_dist,3,0.122824
0,0,9,vac_dist,0,0.220354
0,0,9,vac_dist,1,0.452457
0,0,9,vac_dist,2,0.0990452
0,0,9,vac_dist,3,0.228143
0,0,10,vac_dist,0,0.218413
0,0,10,vac_dist,1,0.135805
0,0,10,vac_dist,2,0.608759
0,0,10,vac_dist,3,0.0370229
0,0,11,vac_dist,0,0.303864
0,0,11,vac_dist,1,0.356755
0,0,11,vac_dist,2,0.262303
0,0,11,vac_dist,3,0.0770776
0,0,12,vac_dist,0,0.18961
0,0,12,vac_dist,1,0.204072
0,0,12,vac_dist,2,0.327225
0,0,12,vac_dist,3,0.279093
0,0,13,vac_dist,0,0.0677365
0,0,13,vac_dist,1,0.645149
0,0,13,vac_dist,2,0.109313
0,0,13,vac_dist,3,0.177802
0,0,14,vac_dist,0,0.228375
0,0,14,vac_dist,1,0.278282
0,0,14,vac_dist,2,0.0827686
0,0,14,vac_dist,3,0.410574
0,0,15,vac_dist,0,0.045055
0,0,15,vac_dist,1,0.479221
0,0,15,vac_dist,2,0.219959
0,0,15,vac_dist,3,0.255765
0,0,16,vac_dist,0,0.532683
0,0,16,vac_dist,1,0.114962
0,0,16,vac_dist,2,0.284407
0,0,16,vac_dist,3,0.0679478
0,0,17,vac_dist,0,0.00960675
0,0,17,vac_dist,1,0.361434
0,0,17,vac_dist,2,0.46925
0,0,17,vac_dist,3,0.15971
0,0,18,vac_dist,0,0.355332
0,0,18,vac_dist,1,0.193164
0,0,18,vac_dist,2,0.107792
0,0,18,vac_dist,3,0.343712
0,0,19,vac_dist,0,0.444108
0,0,19,vac_dist,1,0.173926
0,0,19,vac_dist,2,0.377006
0,0,19,vac_dist,3,0.00495998
0,0,20,vac_dist,0,0.540067
0,0,20,vac_dist,1,0.311741
0,0,20,vac_dist,2,0.121553
0,0,20,vac_dist,3,0.0266399
0,0,21,vac_dist,0,0.628899
0,0,21,vac_dist,1,0.132992
0,0,21,vac_dist,2,0.235141
0,0,21,vac_dist,3,0.00296759
0,0,22,vac_dist,0,0.0536188
0,0,22,vac_dist,1,0.298582
0,0,22,vac_dist,2,0.180536
0,0,22,vac_dist,3,0.467264
0,0,23,vac_dist,0,0.409041
0,0,23,vac_dist,1,0.0136422
0,0,23,vac_dist,2,0.171233
0,0,23,vac_dist,3,0.406084
0,0,24,vac_dist,0,0.106287
0,0,24,vac_dist,1,0.424227
0,0,24,vac_dist,2,0.227542
0,0,24,vac_dist,3,0.241944
0,0,25,vac_dist,0,0.0118224
0,0,25,vac_dist,1,0.6638
0,0,25,vac_dist,2,0.0438874
0,0,25,vac_dist,3,0.28049
0,0,26,vac_dist,0,0.287561
0,0,26,vac_dist,1,0.422694
0,0,26,vac_dist,2,0.0638955
0,0,26,vac_dist,3,0.22585
0,0,27,vac_dist,0,0.31602
0,0,27,vac_dist,1,0.0513258
0,0,27,vac_dist,2,0.00696519
0,0,27,vac_dist,3,0.625689
0,0,28,vac_dist,0,0.00568691
0,0,28,vac_dist,1,0.0982674
0,0,28,vac_dist,2,0.311398
0,0,28,vac_dist,3,0.584647
0,0,29,vac_dist,0,0.0350289
0,0,29,vac_dist,1,0.017315
0,0,29,vac_dist,2,0.28152
0,0,29,vac_dist,3,0.666136
0,0,30,vac_dist,0,0.550301
0,0,30,vac_dist,1,0.0621521
0,0,30,vac_dist,2,0.294237
0,0,30,vac_dist,3,0.0933103
0,0,31,vac_dist,0,0.227858
0,0,31,vac_dist,1,0.270339
0,0,31,vac_dist,2,0.427161
0,0,31,vac_dist,3,0.0746416
0,0,32,vac_dist,0,0.0710846
0,0,32,vac_dist,1,0.13956
0,0,32,vac_dist,2,0.391232
0,0,32,vac_dist,3,0.398124
0,0,33,vac_dist,0,0.497518
0,0,33,vac_dist,1,0.0287132
0,0,33,vac_dist,2,0.0763251
0,0,33,vac_dist,3,0.397444
0,0,34,vac_dist,0,0.0309054
0,0,34,vac_dist,1,0.0648818
0,0,34,vac_dist,2,0.314864
0,0,34,vac_dist,3,0.589349
0,0,35,vac_dist,0,0.0112866
0,0,35,vac_dist,1,0.115767
0,0,35,vac_dist,2,0.0534594
0,0,35,vac_dist,3,0.819487
0,0,36,vac_dist,0,0.255173
0,0,36,vac_dist,1,0.129425
0,0,36,vac_dist,2,0.389227
0,0,36,vac_dist,3,0.226175
0,0,37,vac_dist,0,0.116763
0,0,37,vac_dist,1,0.275395
0,0,37,vac_dist,2,0.503061
0,0,37,vac_dist,3,0.104782
0,0,38,vac_dist,0,0.454803
0,0,38,vac_dist,1,0.042821
0,0,38,vac_dist,2,0.306718
0,0,38,vac_dist,3,0.195658
0,0,39,vac_dist,0,0.0211348
0,0,39,vac_dist,1,0.267782
0,0,39,vac_dist,2,0.345357
0,0,39,vac_dist,3,0.365726
0,0,40,vac_dist,0,0.0664244
0,0,40,vac_dist,1,0.0205074
0,0,40,vac_dist,2,0.263744
0,0,40,vac_dist,3,0.649325
0,0,41,vac_dist,0,0.0470964
0,0,41,vac_dist,1,0.0531572
0,0,41,vac_dist,2,0.846984
0,0,41,vac_dist,3,0.0527621
0,0,42,vac_dist,0,0.507057
0,0,42,vac_dist,1,0.240165
0,0,42,vac_dist,2,0.211325
0,0,42,vac_dist,3,0.0414522
0,0,43,vac_dist,0,0.736476
0,0,43,vac_dist,1,0.0478339
0,0,43,vac_dist,2,0.120647
0,0,43,vac_dist,3,0.0950431
0,0,44,vac_dist,0,0.0449609
0,0,44,vac_dist,1,0.0129521
0,0,44,vac_dist,2,0.424725
0,0,44,vac_dist,3,0.517362
0,0,45,vac_dist,0,0.534963
0,0,45,vac_dist,1,0.218073
0,0,45,vac_dist,2,0.00315708
0,0,45,vac_dist,3,0.243807
0,0,46,vac_dist,0,0.0577587
0,0,46,vac_dist,1,0.186367
0,0,46,vac_dist,2,0.3959
0,0,46,vac_dist,3,0.359974
0,0,47,vac_dist,0,0.0977838
0,0,47,vac_dist,1,0.289439
0,0,47,vac_dist,2,0.250421
0,0,47,vac_dist,3,0.362356
0,0,48,vac_dist,0,0.0751073
0,0,48,vac_dist,1,0.348553
