"ISLAND_ID","DATE","WEEK","MONTH","YEAR","NDVI"
0,2004-07-01,0,7,2004,0.707764157531218
0,2004-07-07,1,7,2004,0.699901774171966
0,2004-07-14,2,7,2004,0.691377392712977
0,2004-07-21,3,7,2004,0.683963391140879
0,2004-08-01,0,8,2004,0.672611476569117
0,2004-08-07,1,8,2004,0.664540181406365
0,2004-08-14,2,8,2004,0.651726363773848
0,2004-08-21,3,8,2004,0.634755858876787
0,2004-09-01,0,9,2004,0.601906370575532
0,2004-09-07,1,9,2004,0.583101558455306
0,2004-09-14,2,9,2004,0.56274234811149
0,2004-09-21,3,9,2004,0.545940314867693
0,2004-10-01,0,10,2004,0.530550547074182
0,2004-10-07,1,10,2004,0.526372761373324
0,2004-10-14,2,10,2004,0.525239949502761
0,2004-10-21,3,10,2004,0.526320749015241
0,2004-11-01,0,11,2004,0.528310568435051
0,2004-11-07,1,11,2004,0.528912154449957
0,2004-11-14,2,11,2004,0.53036803723702
0,2004-11-21,3,11,2004,0.534809989302341
0,2004-12-01,0,12,2004,0.550596762187715
0,2004-12-07,1,12,2004,0.566268055983425
0,2004-12-14,2,12,2004,0.589129219543463
0,2004-12-21,3,12,2004,0.613885758763817
0,2005-01-01,0,1,2005,0.647293598146763
0,2005-01-07,1,1,2005,0.65901025071535
0,2005-01-14,2,1,2005,0.665635125931254
0,2005-01-21,3,1,2005,0.665759971160005
0,2005-02-01,0,2,2005,0.659809863726497
0,2005-02-07,1,2,2005,0.657599115860451
0,2005-02-14,2,2,2005,0.658938683009539
0,2005-02-21,3,2,2005,0.665561037328052
0,2005-03-01,0,3,2005,0.678654117977583
0,2005-03-07,1,3,2005,0.690382168217467
0,2005-03-14,2,3,2005,0.703299232961437
0,2005-03-21,3,3,2005,0.712784776774782
0,2005-04-01,0,4,2005,0.717834694216656
0,2005-04-07,1,4,2005,0.716369399005535
0,2005-04-14,2,4,2005,0.713169961783202
0,2005-04-21,3,4,2005,0.710644561092553
0,2005-05-01,0,5,2005,0.711080101361093
0,2005-05-07,1,5,2005,0.71367982160053
0,2005-05-14,2,5,2005,0.717749475335658
0,2005-05-21,3,5,2005,0.721262338417078
0,2005-06-01,0,6,2005,0.721913391401052
0,2005-06-07,1,6,2005,0.718847325236741
0,2005-06-14,2,6,2005,0.712570283141914
0,2005-06-21,3,6,2005,0.704623538959286
0,2005-07-01,0,7,2005,0.693473174089208
0,2005-07-07,1,7,2005,0.687994828326381
0,2005-07-14,2,7,2005,0.682693959091619
0,2005-07-21,3,7,2005,0.677592970155831
0,2005-08-01,0,8,2005,0.667049807538826
0,2005-08-07,1,8,2005,0.65914305226103
0,2005-08-14,2,8,2005,0.647929034284125
0,2005-08-21,3,8,2005,0.634776853641083
0,2005-09-01,0,9,2005,0.610459773508791
0,2005-09-07,1,9,2005,0.595523227199075
0,2005-09-14,2,9,2005,0.577390969352489
0,2005-09-21,3,9,2005,0.560022049697631
0,2005-10-01,0,10,2005,0.540619310047419
0,2005-10-07,1,10,2005,0.533926057402131
0,2005-10-14,2,10,2005,0.531575617220157
0,2005-10-21,3,10,2005,0.534599295696755
0,2005-11-01,0,11,2005,0.546560356465519
0,2005-11-07,1,11,2005,0.554601229501123
0,2005-11-14,2,11,2005,0.56369989461061
0,2005-11-21,3,11,2005,0.57158935779919
0,2005-12-01,0,12,2005,0.579753500051463
0,2005-12-07,1,12,2005,0.582625714196577
0,2005-12-14,2,12,2005,0.584092518307489
0,2005-12-21,3,12,2005,0.584033161277261
0,2006-01-01,0,1,2006,0.583304868013971
0,2006-01-07,1,1,2006,0.583850803803815
0,2006-01-14,2,1,2006,0.58587989848461
0,2006-01-21,3,1,2006,0.5891111252325
0,2006-02-01,0,2,2006,0.594921922210208
0,2006-02-07,1,2,2006,0.598118851789216
0,2006-02-14,2,2,2006,0.602570560446769
0,2006-02-21,3,2,2006,0.609095340192392
0,2006-03-01,0,3,2006,0.620595083118752
0,2006-03-07,1,3,2006,0.632287417369883
0,2006-03-14,2,3,2006,0.648385907392503
0,2006-03-21,3,3,2006,0.665295204589925
0,2006-04-01,0,4,2006,0.688181871081492
0,2006-04-07,1,4,2006,0.696955916676314
0,2006-04-14,2,4,2006,0.703798827109105
0,2006-04-21,3,4,2006,0.708288001648788
0,2006-05-01,0,5,2006,0.714066295604644
0,2006-05-07,1,5,2006,0.718099507256639
0,2006-05-14,2,5,2006,0.722620434316626
0,2006-05-21,3,5,2006,0.725186746368686
0,2006-06-01,0,6,2006,0.721454948061873
0,2006-06-07,1,6,2006,0.715126453734335
0,2006-06-14,2,6,2006,0.705310878271541
0,2006-06-21,3,6,2006,0.695003410175161
0,2006-07-01,0,7,2006,0.683481268481201
0,2006-07-07,1,7,2006,0.679556963918716
0,2006-07-14,2,7,2006,0.677709901178963
0,2006-07-21,3,7,2006,0.677890495773175
0,2006-08-01,0,8,2006,0.679628399293396
0,2006-08-07,1,8,2006,0.680430467606006
0,2006-08-14,2,8,2006,0.680890264254171
0,2006-08-21,3,8,2006,0.680745321427448
0,2006-09-01,0,9,2006,0.67904429895944
0,2006-09-07,1,9,2006,0.677055003989656
0,2006-09-14,2,9,2006,0.673257794322532
0,2006-09-21,3,9,2006,0.667202401091557
0,2006-10-01,0,10,2006,0.653475319615095
0,2006-10-07,1,10,2006,0.642306316482356
0,2006-10-14,2,10,2006,0.627225220308271
0,2006-10-21,3,10,2006,0.611252207905305
0,2006-11-01,0,11,2006,0.588214588156926
0,2006-11-07,1,11,2006,0.578476036848202
0,2006-11-14,2,11,2006,0.571009418132102
0,2006-11-21,3,11,2006,0.568845429897228
0,2006-12-01,0,12,2006,0.576478529474863
0,2006-12-07,1,12,2006,0.586825064332895
0,2006-12-14,2,12,2006,0.602440645367238
0,2006-12-21,3,12,2006,0.618716986795233
0,2007-01-01,0,1,2007,0.637390739307611
0,2007-01-07,1,1,2007,0.641588893935721
0,2007-01-14,2,1,2007,0.641435609692136
0,2007-01-21,3,1,2007,0.638244782799743
0,2007-02-01,0,2,2007,0.635440063329691
0,2007-02-07,1,2,2007,0.63825657301259
0,2007-02-14,2,2,2007,0.646072172820491
0,2007-02-21,3,2,2007,0.657365061907942
0,2007-03-01,0,3,2007,0.671667130661637
0,2007-03-07,1,3,2007,0.681788228566818
0,2007-03-14,2,3,2007,0.692159979544098
0,2007-03-21,3,3,2007,0.701058793709242
0,2007-04-01,0,4,2007,0.713306884872765
0,2007-04-07,1,4,2007,0.719687245230383
0,2007-04-14,2,4,2007,0.727181403656323
0,2007-04-21,3,4,2007,0.734813049379792
0,2007-05-01,0,5,2007,0.745730849321604
0,2007-05-07,1,5,2007,0.751962707547594
0,2007-05-14,2,5,2007,0.758454874547852
0,2007-05-21,3,5,2007,0.763532831021862
0,2007-06-01,0,6,2007,0.766883109070712
0,2007-06-07,1,6,2007,0.765389987545105
0,2007-06-14,2,6,2007,0.760090564751814
0,2007-06-21,3,6,2007,0.751060043865837
0,2007-07-01,0,7,2007,0.733827397436794
0,2007-07-07,1,7,2007,0.723088389443135
0,2007-07-14,2,7,2007,0.712299134248657
0,2007-07-21,3,7,2007,0.704664050419493
0,2007-08-01,0,8,2007,0.698640495007472
0,2007-08-07,1,8,2007,0.696452788714388
0,2007-08-14,2,8,2007,0.69227440966094
0,2007-08-21,3,8,2007,0.684291878773828
0,2007-09-01,0,9,2007,0.662054357741558
0,2007-09-07,1,9,2007,0.645857329437137
0,2007-09-14,2,9,2007,0.625439238651255
0,2007-09-21,3,9,2007,0.605571230783896
0,2007-10-01,0,10,2007,0.581515255951941
0,2007-10-07,1,10,2007,0.570346430789189
0,2007-10-14,2,10,2007,0.560359203362965
0,2007-10-21,3,10,2007,0.553149305789556
0,2007-11-01,0,11,2007,0.545898729826127
0,2007-11-07,1,11,2007,0.543526551758668
0,2007-11-14,2,11,2007,0.54221757075961
0,2007-11-21,3,11,2007,0.54296302946298
0,2007-12-01,0,12,2007,0.548222311434139
0,2007-12-07,1,12,2007,0.552975106317854
0,2007-12-14,2,12,2007,0.557844922128413
0,2007-12-21,3,12,2007,0.559184937332224
0,2008-01-01,0,1,2008,0.54914359584995
0,2008-01-07,1,1,2008,0.537565195140513
0,2008-01-14,2,1,2008,0.521643660732536
0,2008-01-21,3,1,2008,0.507807474037483
0,2008-02-01,0,2,2008,0.502205435336179
0,2008-02-07,1,2,2008,0.510841068140959
0,2008-02-14,2,2,2008,0.530733303939307
0,2008-02-21,3,2,2008,0.557805622905403
0,2008-03-01,0,3,2008,0.59570817819821
0,2008-03-07,1,3,2008,0.618950345180769
0,2008-03-14,2,3,2008,0.641512765190125
0,2008-03-21,3,3,2008,0.658487984114939
0,2008-04-01,0,4,2008,0.676217422079191
0,2008-04-07,1,4,2008,0.683665530108182
0,2008-04-14,2,4,2008,0.69263767546819
0,2008-04-21,3,4,2008,0.703218578750319
0,2008-05-01,0,5,2008,0.721338183096173
0,2008-05-07,1,5,2008,0.732781748253844
0,2008-05-14,2,5,2008,0.744976673636594
0,2008-05-21,3,5,2008,0.754378997004921
0,2008-06-01,0,6,2008,0.761045081903931
0,2008-06-07,1,6,2008,0.760197164312474
0,2008-06-14,2,6,2008,0.755605603969802
0,2008-06-21,3,6,2008,0.74778572345368
0,2008-07-01,0,7,2008,0.732362208008421
0,2008-07-07,1,7,2008,0.721372023067334
0,2008-07-14,2,7,2008,0.707618312552487
0,2008-07-21,3,7,2008,0.693769378449693
0,2008-08-01,0,8,2008,0.67457410271412
0,2008-08-07,1,8,2008,0.666547269766783
0,2008-08-14,2,8,2008,0.659513589060629
0,2008-08-21,3,8,2008,0.653942089652196
0,2008-09-01,0,9,2008,0.642904541397848
0,2008-09-07,1,9,2008,0.632829060989857
0,2008-09-14,2,9,2008,0.615875404066907
0,2008-09-21,3,9,2008,0.593650890451021
0,2008-10-01,0,10,2008,0.557107351639492
0,2008-10-07,1,10,2008,0.536025329276665
0,2008-10-14,2,10,2008,0.515566553802897
0,2008-10-21,3,10,2008,0.501660182591675
0,2008-11-01,0,11,2008,0.494342082738311
0,2008-11-07,1,11,2008,0.496780154128734
0,2008-11-14,2,11,2008,0.503681345468055
0,2008-11-21,3,11,2008,0.513526117054992
0,2008-12-01,0,12,2008,0.530569918979975
0,2008-12-07,1,12,2008,0.541597294070926
0,2008-12-14,2,12,2008,0.55439592376995
0,2008-12-21,3,12,2008,0.56644371136285
0,2009-01-01,0,1,2009,0.583304842784575
0,2009-01-07,1,1,2009,0.591745950685501
0,2009-01-14,2,1,2009,0.601119098854571
0,2009-01-21,3,1,2009,0.609438358680295
0,2009-02-01,0,2,2009,0.617378476783091
0,2009-02-07,1,2,2009,0.617959776985928
0,2009-02-14,2,2,2009,0.615868962459242
0,2009-02-21,3,2,2009,0.613012943096337
0,2009-03-01,0,3,2009,0.612816107539509
0,2009-03-07,1,3,2009,0.617110021238287
0,2009-03-14,2,3,2009,0.627995063381729
0,2009-03-21,3,3,2009,0.644487829624403
0,2009-04-01,0,4,2009,0.676500670740342
0,2009-04-07,1,4,2009,0.694263144081835
0,2009-04-14,2,4,2009,0.713539645118553
0,2009-04-21,3,4,2009,0.730637812734729
0,2009-05-01,0,5,2009,0.750859248190845
0,2009-05-07,1,5,2009,0.760321376090088
0,2009-05-14,2,5,2009,0.768257641607506
0,2009-05-21,3,5,2009,0.77211259987706
0,2009-06-01,0,6,2009,0.768187866620582
0,2009-06-07,1,6,2009,0.760507566316981
0,2009-06-14,2,6,2009,0.747037284158856
0,2009-06-21,3,6,2009,0.730006126448786
0,2009-07-01,0,7,2009,0.703715934503447
0,2009-07-07,1,7,2009,0.689368823748926
0,2009-07-14,2,7,2009,0.675834453399014
0,2009-07-21,3,7,2009,0.666291351951295
0,2009-08-01,0,8,2009,0.656890661810887
0,2009-08-07,1,8,2009,0.651966928943155
0,2009-08-14,2,8,2009,0.64363274243693
0,2009-08-21,3,8,2009,0.630635359503441
0,2009-09-01,0,9,2009,0.599505447132967
0,2009-09-07,1,9,2009,0.578350086787893
0,2009-09-14,2,9,2009,0.552710441367832
0,2009-09-21,3,9,2009,0.529427525231868
0,2009-10-01,0,10,2009,0.507283588699785
0,2009-10-07,1,10,2009,0.502936989625555
0,2009-10-14,2,10,2009,0.506829301242193
0,2009-10-21,3,10,2009,0.518678720502968
0,2009-11-01,0,11,2009,0.545610374078587
0,2009-11-07,1,11,2009,0.560723323897509
0,2009-11-14,2,11,2009,0.576528594120611
0,2009-11-21,3,11,2009,0.589715258084868
0,2009-12-01,0,12,2009,0.603925726943311
0,2009-12-07,1,12,2009,0.609747976439992
0,2009-12-14,2,12,2009,0.613727867696825
0,2009-12-21,3,12,2009,0.614724497160972
0,2010-01-01,0,1,2010,0.612331751345808
0,2010-01-07,1,1,2010,0.610928078422125
0,2010-01-14,2,1,2010,0.611238201254022
0,2010-01-21,3,1,2010,0.615114854418174
0,2010-02-01,0,2,2010,0.629767366987565
0,2010-02-07,1,2,2010,0.641493037073928
0,2010-02-14,2,2,2010,0.657042131829457
0,2010-02-21,3,2,2010,0.673109779317122
0,2010-03-01,0,3,2010,0.690465750008568
0,2010-03-07,1,3,2010,0.702020645841521
0,2010-03-14,2,3,2010,0.713375107921663
0,2010-03-21,3,3,2010,0.722081213966836
0,2010-04-01,0,4,2010,0.7303458295174
0,2010-04-07,1,4,2010,0.732727439976668
0,2010-04-14,2,4,2010,0.7348550234255
0,2010-04-21,3,4,2010,0.737565923165476
0,2010-05-01,0,5,2010,0.743875571092597
0,2010-05-07,1,5,2010,0.748633843164166
0,2010-05-14,2,5,2010,0.753777755226433
0,2010-05-21,3,5,2010,0.757070093019436
0,2010-06-01,0,6,2010,0.756699572796368
0,2010-06-07,1,6,2010,0.753965277605431
0,2010-06-14,2,6,2010,0.749544524622433
0,2010-06-21,3,6,2010,0.744774842115507
0,2010-07-01,0,7,2010,0.738361816629436
0,2010-07-07,1,7,2010,0.734492519879558
0,2010-07-14,2,7,2010,0.729062700991733
